nom,latitude,longitude,code_postal,codes_postaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latitude_centre,longitude_centre
L'Abergement-Clémenciat,46.153,4.926,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.153,4.926
L'Abergement-de-Varey,46.009,5.428,1640,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.009,5.428
Ambérieu-en-Bugey,45.961,5.373,1500,"01500, 01501, 01504, 01503, 01502, 01505, 01506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.961,5.373
Ambérieux-en-Dombes,45.996,4.912,1330,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.996,4.912
Ambléon,45.75,5.594,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.75,5.594
Ambronay,46.006,5.358,1500,"01500, 01504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.006,5.358
Ambutrix,45.937,5.333,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.937,5.333
Andert-et-Condon,45.787,5.658,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.787,5.658
Anglefort,45.909,5.795,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.909,5.795
Apremont,46.206,5.658,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.206,5.658
Aranc,46.002,5.511,1110,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.002,5.511
Arandas,45.891,5.499,1230,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.891,5.499
Arbent,46.284,5.691,1100,"01112, 01102, 01100, 01117, 01101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.284,5.691
Arboys en Bugey,45.724,5.653,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.724,5.653
Arbigny,46.478,4.96,1190,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.478,4.96
Argis,45.934,5.482,1230,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.934,5.482
Armix,45.854,5.584,1510,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.854,5.584
Ars-sur-Formans,45.994,4.822,1480,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.994,4.822
Artemare,45.87,5.691,1510,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.87,5.691
Asnières-sur-Saône,46.386,4.884,1570,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.386,4.884
Attignat,46.286,5.18,1340,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.286,5.18
Bâgé-Dommartin,46.323,4.953,1380,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.323,4.953
Bâgé-le-Châtel,46.308,4.929,1380,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.308,4.929
Balan,45.831,5.108,1360,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.831,5.108
Baneins,46.114,4.902,1990,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.114,4.902
Beaupont,46.429,5.26,1270,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.429,5.26
Beauregard,46.001,4.756,1480,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.001,4.756
Bellignat,46.237,5.636,1100,"01116, 01117, 01103, 01115, 01100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.237,5.636
Béligneux,45.859,5.14,1360,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.859,5.14
Valserhône,46.107,5.832,1200,"01202, 01204, 01201, 01200, 01206, 01203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.107,5.832
Belley,45.75,5.684,1300,"01303, 01302, 74009, 01300, 01301, 01306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.75,5.684
Belleydoux,46.253,5.785,1130,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.253,5.785
Valromey-sur-Séran,45.885,5.651,1260,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.885,5.651
Bénonces,45.838,5.483,1470,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.838,5.483
Bény,46.319,5.282,1370,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.319,5.282
Béréziat,46.367,5.04,1340,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.367,5.04
Bettant,45.937,5.367,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.937,5.367
Bey,46.219,4.846,1290,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.219,4.846
Beynost,45.839,4.997,1700,"01700, 01704, 01708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.839,4.997
Billiat,46.079,5.766,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.079,5.766
Birieux,45.953,5.037,1330,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.953,5.037
Biziat,46.227,4.941,1290,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.227,4.941
Blyes,45.847,5.252,1150,"01150, 01154, 01155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.847,5.252
La Boisse,45.845,5.028,1120,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.845,5.028
Boissey,46.373,4.999,1380,"01380, 01190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.373,4.999
Bolozon,46.196,5.471,1450,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.196,5.471
Bouligneux,46.023,4.992,1330,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.023,4.992
Bourg-en-Bresse,46.205,5.246,1000,"01003, 01007, 01060, 01013, 01006, 01005, 01004, 01001, 01008, 01012, 01002, 01011, 01017, 01018, 01010, 01009, 01000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.205,5.246
Bourg-Saint-Christophe,45.886,5.144,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.886,5.144
Boyeux-Saint-Jérôme,46.036,5.463,1640,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.036,5.463
Boz,46.405,4.914,1190,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.405,4.914
Brégnier-Cordon,45.642,5.616,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.642,5.616
Brénod,46.076,5.614,1110,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.076,5.614
Brens,45.714,5.69,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.714,5.69
Bressolles,45.869,5.101,1360,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.869,5.101
Brion,46.169,5.547,1460,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.169,5.547
Briord,45.771,5.485,1470,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.771,5.485
Buellas,46.21,5.145,1310,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.21,5.145
La Burbanche,45.86,5.546,1510,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.86,5.546
Ceignes,46.126,5.495,1430,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.126,5.495
Cerdon,46.072,5.476,1450,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.072,5.476
Certines,46.134,5.262,1240,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.134,5.262
Cessy,46.316,6.078,1170,"01171, 01174, 01170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.316,6.078
Ceyzériat,46.183,5.32,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.183,5.32
Ceyzérieu,45.834,5.719,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.834,5.719
Chalamont,46.008,5.169,1320,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.008,5.169
Chaleins,46.034,4.798,1480,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.034,4.798
Chaley,45.953,5.537,1230,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.953,5.537
Challes-la-Montagne,46.122,5.458,1450,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.122,5.458
Challex,46.177,5.971,1630,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.177,5.971
Champagne-en-Valromey,45.932,5.693,1260,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.932,5.693
Champdor-Corcelles,46.02,5.6,1110,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.02,5.6
Champfromier,46.22,5.822,1410,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22,5.822
Chanay,46.006,5.769,1420,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.006,5.769
Chaneins,46.094,4.855,1990,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.094,4.855
Chanoz-Châtenay,46.186,5.028,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.186,5.028
La Chapelle-du-Châtelard,46.074,5.022,1240,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.074,5.022
Charix,46.186,5.681,1130,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.186,5.681
Charnoz-sur-Ain,45.874,5.221,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.874,5.221
Château-Gaillard,45.973,5.308,1500,"01500, 01503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.973,5.308
Châtenay,46.026,5.205,1320,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.026,5.205
Châtillon-la-Palud,45.975,5.242,1320,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.975,5.242
Châtillon-sur-Chalaronne,46.123,4.958,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.123,4.958
Chavannes-sur-Reyssouze,46.438,5.007,1190,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.438,5.007
Nivigne et Suran,46.275,5.416,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.275,5.416
Chaveyriat,46.199,5.056,1660,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.199,5.056
Chazey-Bons,45.793,5.685,1300,"01300, 01303, 01301, 01510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.793,5.685
Chazey-sur-Ain,45.893,5.255,1150,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.893,5.255
Cheignieu-la-Balme,45.823,5.605,1510,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.823,5.605
Chevillard,46.11,5.581,1430,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.11,5.581
Chevroux,46.382,4.963,1190,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.382,4.963
Chevry,46.283,6.047,1170,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.283,6.047
Chézery-Forens,46.223,5.872,1410,"01200, 01410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.223,5.872
Civrieux,45.922,4.886,1390,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.922,4.886
Cize,46.2,5.451,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,5.451
Cleyzieu,45.902,5.433,1230,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.902,5.433
Coligny,46.387,5.331,1270,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.387,5.331
Collonges,46.142,5.9,1550,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.142,5.9
Colomieu,45.736,5.627,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.736,5.627
Conand,45.884,5.475,1230,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.884,5.475
Condamine,46.106,5.556,1430,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.106,5.556
Condeissiat,46.154,5.084,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.154,5.084
Confort,46.154,5.833,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.154,5.833
Confrançon,46.27,5.058,1310,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.27,5.058
Contrevoz,45.801,5.621,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.801,5.621
Conzieu,45.725,5.604,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.725,5.604
Corbonod,45.966,5.79,1420,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.966,5.79
Corlier,46.034,5.496,1110,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.034,5.496
Cormoranche-sur-Saône,46.24,4.828,1290,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.24,4.828
Cormoz,46.434,5.222,1560,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.434,5.222
Corveissiat,46.25,5.472,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.25,5.472
Courmangoux,46.327,5.356,1370,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.327,5.356
Courtes,46.457,5.111,1560,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.457,5.111
Crans,45.966,5.195,1320,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.966,5.195
Bresse Vallons,46.313,5.178,1340,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.313,5.178
Cressin-Rochefort,45.783,5.766,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.783,5.766
Crottet,46.283,4.878,1290,"01750, 01290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.283,4.878
Crozet,46.292,5.995,1170,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.292,5.995
Cruzilles-lès-Mépillat,46.222,4.875,1290,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.222,4.875
Culoz-Béon,45.856,5.784,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.856,5.784
Curciat-Dongalon,46.488,5.163,1560,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.488,5.163
Curtafond,46.273,5.102,1310,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.273,5.102
Cuzieu,45.82,5.677,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82,5.677
Dagneux,45.853,5.073,1120,"01124, 01120, 01121, 01123, 01127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.853,5.073
Divonne-les-Bains,46.376,6.116,1220,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.376,6.116
Dompierre-sur-Veyle,46.067,5.217,1240,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.067,5.217
Dompierre-sur-Chalaronne,46.142,4.901,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.142,4.901
Domsure,46.424,5.293,1270,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.424,5.293
Dortan,46.313,5.642,1590,"01590, 01102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.313,5.642
Douvres,45.984,5.371,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.984,5.371
Drom,46.22,5.368,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22,5.368
Druillat,46.068,5.294,1160,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.068,5.294
Échallon,46.227,5.733,1130,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.227,5.733
Échenevex,46.316,6.019,1170,"01174, 01170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.316,6.019
